"japanese_translation","phrase","category","part_of_speech","explanation"
"庶民の気持ちが分かってない。","He's totally out of touch.","性格","形容詞","「庶民の気持ちが分からない」「庶民感覚がない」は英語で：
・out of touch
（アウト・オブ・タッチ）
と言います。
特に政治家やセレブが「庶民の感覚を理解していない」時に批判的に使われます。
●　歴史的有名な例として、
The people have no bread to eat.
（市民は食べるパンがありません！）
と言われたマリー・アントワネットが
Let them eat cake.
（じゃケーキを食べればいいじゃない？）
と答えた話があります。
（実際は言ってない説もあります）
●　他にも：
The politician was criticized for being out of touch.
（あの政治家は庶民の気持ちが分からないって批判された）
He’s so out of touch — he thinks everyone can afford a new iPhone every year.
（彼、現実とズレすぎ。みんなが毎年新しいiPhone買えると思ってるよ）
The journalist was surprised talking to the out-of-touch politician.
（その記者、現実離れした政治家と話して驚いてた）
＊　名詞の前に形容詞として使うときはハイフンを入れて「out-of-touch politician」みたいに書くのが一般的です。"
"彼女がブチギレちゃったよ。","She crashed out.","被害・トラブル / 諺・おもしろ表現","過去のこと","「理性が飛んで感情爆発する」「キレる」「ブチギレる」は英語で：
・crash out
（クラッシュアウト）
という句動詞を使います。
「感情のコントロールを失って大暴れする・爆発する」ニュアンスで、
特にSNSや若者言葉でめっちゃくちゃ使われています。
たとえば
She crashed out and ruined the whole meeting.
（彼女、キレちゃって会議台無しにしたよ）
Everyone’s crashing out about it on X.
（みんなXでそれでブチギレてる）
I crashed out when my boss blamed me for his mistake.
（上司が自分のミスを俺のせいにしたから、俺がブチギレちゃった）
Don’t crash out over something so trivial.
（そんな些細なことでキレるなよ）
これで「もう我慢できない！」レベルの感情爆発をネイティブらしく伝えられます！"
"彼女は仕事に几帳面だね。","She’s meticulous about her work.","仕事 / 性格","形容詞","「細かいところまで丁寧にやる」「几帳面」は英語で：
・meticulous
（メティキュラス）
という形容詞を使います。
細部にまでこだわって完璧に仕上げる、という意味で、
仕事や掃除など、何かを信頼できるクオリティでやってくれる人にぴったりな表現です。
たとえば
She’s meticulous about her work.
（彼女は仕事にすごく几帳面だね）
He keeps meticulous records.
（彼は記録をすごく丁寧に取っている）
I cleaned the house meticulously.
（家を隅々まで丁寧に掃除した）
My husband is meticulous but I’m sloppy.
（夫は几帳面で私は大雑把）"
"仕事のあと、どうやって空気抜いている？","How do you unwind after work?","仕事 / 家の中","普段のこと・習慣","「疲れを癒す」「リラックスする」「空気を抜く」は英語で：
・unwind
（アンワインド）
という動詞を使います。
・ wind　は「ネジを巻く」
・ unwind　は「ネジを緩める」
という意味です。
「巻き取られた糸をほどく」というイメージから来ていて、
一日中緊張していた体や心をゆっくり解きほぐす、というニュアンスです。
たとえば
I need to unwind this weekend — too much stress lately.
（今週末はのんびりしたい。最近ストレス溜まりすぎ）
A hot bath always helps me unwind.
（熱いお風呂に入ると、いつもリラックスできる）
I usually unwind by scrolling through funny videos on my phone.
（スマホで面白い動画を見て空気を抜いてるよ）
After a hard day at work, I like to unwind with a movie and a beer.
（仕事でハードな一日だったあと、映画とビールでくつろぐのが好き）
これで「今日もお疲れ様、リラックスしよう」感をネイティブらしく伝えられます！"
"もうひとつ仕事の話を温めといてる。","I have something on the back burner.","仕事 / 諺・おもしろ表現","","予備のプランなどを「温めている」は英語で：
・have 〜 on the back burner
という表現を使います。
キッチンの「後ろのコンロ（back burner）」で弱火でコトコト煮込んでおくイメージから来ていて、
今はメインじゃないけど、いつでも使えるように温存してる、というニュアンスです。
たとえば
I have another job opportunity on the back burner.
（もうひとつ仕事の話、温めといてるんだ）
We’ve got a backup plan on the back burner if this fails.
（これがダメだったときのために、予備プランを温めといてるよ）
She has another guy on the back burner.
（彼女、もうひとり男をキープしてるんだよね、保険として）
I have a new business idea on the back burner. We have to prepare for a recession.
（新しいビジネスのアイデアを温めといてるんだ。不況に備えないとね）"
"今朝の渋滞はえげつなかった。","The traffic this morning was diabolical.","交通 / 諺・おもしろ表現","形容詞","「最悪な」「ひどい」「えげつない」「エグい」は口語体の英語で：
・diabolical
（ダイアボリカル）
という形容詞を使います。
元々「悪魔的な」という意味ですけど、
・ヤバい
・ひどい
・エグい
という意味のスラングっぽい表現としてよく使います。
たとえば
That villain came up with a truly diabolical plan.
（悪党は本当に悪魔的な計画を立てた）【本来の意味】
The traffic this morning was diabolical.
（今朝の渋滞はひどかったよ）
The way she shut him down was diabolical.
（彼のアプローチに対する彼女の断り方はエグかった）
My baby’s an angel but his crying at night is diabolical.
（うちの赤ちゃんは天使だけど、夜泣きが地獄みたいにひどい）
Some of the comments on her post were diabolical.
（その投稿のリプライがエグい感じだった）"
"行かなければいいんじゃない？","Why don't you not go?","遊び","","「行かなければいいんじゃない？」「行くのをやめたら？」は英語で：
・Why don't you not go?
と言います。
「not」が2つあるので「二重否定じゃないの？」と疑問に思ってしまいがちですけど、
毎日使うような普通の英語です。
映画「プリティー・ウーマン」でも、ジュリア・ロバーツがリチャード・ギアに：
Why don’t you not go to work tomorrow?
（明日会社に行くのをやめたら？）
と言っていました。
❶　まず「Why don't you 〜 ?」は：
・　～すれば？
・　～したらどう？
という有名な英語ですね。
たとえば
Why don't you go?
（行けばいいんじゃない？）
Why don't you tell him?
（彼に言ってみたら？）
❷　続く動詞に「not」をつけると：
・　～しなければいいんじゃない？
・　～するのをやめたら？
という提案になります。
たとえば
Why don't you not tell him?
（彼に言うのをやめたら？）
Why don't you not move?
（引っ越さなければいいじゃない？）
ネイティブにとっては当たり前の不思議な「not」の使い方は、ぜひこちらの動画を観て映画やドラマで確認しましょう！"
"些細なことでイライラしないで。","Don't get angry about trivial things.","被害・トラブル","形容詞","「些細な」「取るに足らない」「大したことない」は英語で：
・trivial
（トリビアル）
という形容詞を使います。
❶　ネガティブなニュアンス（「そんなことで怒るなんて…」）でよく使います：
I have no idea why I get angry about trivial things.
（なんでこんな些細なことでイライラするんだろう）
We spent the whole meeting arguing about trivial details.
（会議中ずっと、些細な細かいことで言い争ってた）
❷　「大したことないよ」というニュアンスでもよく使います：
The damage was trivial — nothing serious.
（損害は些細なものだった。大したことないよ）
Don’t worry about it. It’s trivial.
（気にしないで。些細なことだから）"
"傷口に塩を塗る必要なくない？","You don't have to rub it in.","被害・トラブル / 諺・おもしろ表現","to 不定詞","「相手のミスをしつこく責める」「傷口に塩を塗る」は英語で：
・rub it in
という句動詞を使います。
直訳は「それを擦り込む」ですけど、
人の失敗や弱点をわざわざ強調して「痛いところに塩を塗る」ようなニュアンスです。
たとえば
She made a mistake, but you shouldn’t rub it in.
（彼女はミスしたけど、傷口に塩を塗る必要ないよ）
I know I lost. You don’t have to keep rubbing it in.
（負けたのは分かってるよ。しつこく言わなくていいって）
He failed the test again, but stop rubbing it in. He’s already upset.
（またテスト落ちたけど、もう塩を塗るのやめてあげて。彼もう落ち込んでるよ）
I messed up, okay? No need to rub it in.
（失敗したのは分かってるから、わざわざ言わなくていいよ）"
"車を回してくるね。","I’ll go get the car.","交通","未来のこと","❶　「～しにいく」「～してくる」は「go and 動詞」といいます。
その「and」を省略することも非常に多いです。
つまり
I’ll go and get the car.
の「and」が省略され
I’ll go get the car.
になります。
＊「and」はもちろんあっても大正解です。
他にも
Can you go (and) buy milk?
（牛乳を買ってくてくれる？）
I’m going to go (and) get changed.
（着替えてくる）
Let's go (and) have dinner.
（夕飯を食べに行こうよ）
I want to go (and) see a play.
（舞台を見に行きたい）
❷　注意！「and」が省略できないことも多い。
たとえば
「went and bought」
「going and buying」
「goes and buys」
の場合は「and」を必ず入れます。
「go and buy」のように「go」が原型のときだけ「and」を省略できます。
また、
「go home and 〜」
「go to work and 〜」
のように、「go」に場所などが続く場合も「and」は省略できないです。
「go and 〜」のときだけ「and」が省略できます。
自分で話すときは「and」を入れておくのが一番無難ですけど、
ネイティブの会話では「go get」「go buy」「go check」など省略形が本当に頻出です！"
